순위,책이름,저자및출판사,가격
1,트렌드 코리아 2026,"김난도,전미영,최지혜,권정윤,한다혜저...","18,000"
2,처음 만나는 양자의 세계,채은미저,"17,100"
3,대형주 추세추종 투자법칙,이종호(전황)저,"19,800"
4,위버멘쉬,프리드리히 니체저,"16,020"
5,박곰희 연금 부자 수업,박곰희저,"18,900"
6,주식 투자의 뿌리,박두환저,"19,800"
7,절창 切創,구병모저,"16,200"
8,다크 심리학,다크 사이드 프로젝트저,"19,710"
9,단 한 줄만 내 마음에 새긴다고 해도,나민애저,"21,420"
10,어른의 행복은 조용하다,태수저,"16,020"
11,머니 트렌드 2026,"김도윤,정태익,김광석,김승주,김용섭저...","23,400"
12,어스탐 경의 임사전언,이영도저,"18,000"
13,호의에 대하여,문형배저,"16,920"
14,렛뎀 이론,멜 로빈스저/윤효원역,"18,000"
15,기분이 태도가 되지 않게 (헬로키티 ...,레몬심리저/박영란역,"16,200"
16,혼모노,성해나저,"16,200"
17,미야옹 마음 분식점 1 : 좀비 개가...,주미글/안병현그림,"13,320"
18,손자병법,손자저/소준섭역,"11,700"
19,결국 너의 시간은 온다,염경엽저,"17,100"
20,스토너,존 윌리엄스저/김승욱역,"15,120"
21,모순,양귀자저,"11,700"
22,ETF 투자의 모든 것,문일호저,"18,900"
23,사이언스 2026,"내셔널지오그래픽 키즈글/이한음,김아림...","25,200"
24,그 비스크 돌은 사랑을 한다 15 한...,후쿠다 신이치글그림/박연지역,"25,200"
